MeridianCode,Meridian
1,1ST PRINCIPAL
2,2ND PRINCIPAL
3,3RD PRINCIPAL
4,4TH PRINCIPAL
5,5TH PRINCIPAL
6,6TH PRINCIPAL
7,BLACK HILLS
8,BOISE
9,CHICKASAW
10,CHOCTAW
11,CIMARRON
14,GILA SALT RIVER
15,HUMBOLDT
16,HUNTSVILLE
17,INDIAN
18,LOUISIANA
19,MICHIGAN
20,PRINCIPAL MT
21,MOUNT DIABLO
23,NEW MEXICO
24,ST HELENA
25,ST STEPHENS
26,SALT LAKE
27,SAN BERNARDINO
29,TALLAHASSEE
30,UINTAH SPEC
31,UTE
32,WASHINGTON
33,WILLAMETTE
34,WIND RIVER
35,OHIO RIVER SURVEY
36,BETWEEN THE MIAMIS
39,1ST SCIOTO RIVER BASE
40,2ND SCIOTO RIVER BASE
46,4TH PRINCIPLE MN WI
47,WEST OF GREAT MIAMI
48,US MILITARY SURVEY
91,CT WESTERN RES OH
209,Sisselton IR
DE,DELAWARE
GA,GEORGIA
KY,KENTUCKY
MD,MARYLAND
ME,MAINE
NC,NORTH CAROLINA
NH,NEW HAMPSHIRE
NJ,NEW JERSEY
NY,NEW YORK
OH,OHIO
PA,INVALID MERIDIAN CODE
SC,SOUTH CAROLINA
TN,TENNESSEE
TX,TEXAS
VA,VIRGINIA
VT,VERMONT
WV,WEST VIRGINIA
